학교명,지역,학교 학생 수,동질화 지수(H_m),P_special,I_SCU,H_path,H_job,H_ppc,1위 업종,R_net,,,
대구동인초등학교,중구,199,1.284874965,10.050251,0.943809,1,0.3322,0.2302,스포츠 서비스업,1.005025126,1.320394303,1.320394303,0.9294003683
대구북부초등학교,북구,215,1.281138884,4.651163,0.954214,1,0.3493,0.4321,,-2.790697674,1.320127394,1.320127394,0.9538724482
대구예아람학교,달성군,163,1.279050211,0,0.955971,0.693446,0.3487,0.4321,,0,1.218883166,1.218883166,0.8702283281
대구만촌초등학교,수성구,276,1.273842942,2.173913,0.972425,1,0.3313,0.4693,기타 개인 서비스업 복합코드,6.15942029,1.22793669,1.22793669,0.9189617108
대구시지초등학교,수성구,220,1.271758074,9.090909,0.949368,1,0.3313,0.4693,기타 개인 서비스업 복합코드,-2.727272727,1.311465659,1.311465659,0.9526493984
대구감삼초등학교,달서구,251,1.266757457,4.780876,0.957789,1,0.3515,0.4321,,2.788844622,1.260309757,1.260309757,0.928257411
대구팔달초등학교,북구,224,1.263956777,5.357143,0.951861,1,0.3493,0.4321,,-1.785714286,1.30316359,1.30316359,0.9460744903
대구남송초등학교,달서구,307,1.260512925,3.257329,0.962868,1,0.3515,0.4321,,16.28664495,1.166260383,1.166260383,0.8875509051
대구보명학교,남구,187,1.257908124,0,0.941907,0.693446,0.3552,0.5969,보건업 복합코드,0,1.201509042,1.201509042,0.8904645446
대구중리초등학교,서구,259,1.257708342,7.335907,0.890988,1,0.3622,0.4321,,16.6023166,1.209381593,1.209381593,0.8978633304
대구아양초등학교,동구,223,1.256590573,6.278027,0.941699,1,0.3499,0.4321,,-4.932735426,1.298771389,1.298771389,0.942801712
대구남덕초등학교,남구,229,1.25359844,6.9869,0.918617,1,0.3552,0.5969,보건업 복합코드,-5.240174672,1.298437148,1.298437148,0.965716969
대구율하초등학교,동구,222,1.250111065,9.009009,0.932595,1,0.3499,0.4321,,-4.054054054,1.29498066,1.29498066,0.9398846519
범일중학교,수성구,163,1.249149216,6.134969,0.959222,0.526626,0.3313,0.4693,기타 개인 서비스업 복합코드,-0.21595357,1.141377781,1.141377781,0.8241422145
대구일과학고등학교,동구,218,1.246669338,0.917431,0.959567,0.885745,0.3499,0.4321,,0,1.247217649,1.247217649,0.9066232995
경혜여자중학교,남구,148,1.239412729,4.054054,0.928393,0.164839,0.3552,0.5969,보건업 복합코드,1.19760479,1.051567944,1.051567944,0.7899142647
대구지묘초등학교,동구,256,1.238269227,1.5625,0.957417,1,0.3499,0.4321,,0.78125,1.251301331,1.251301331,0.924069184
가창중학교,달성군,120,1.236418293,4.166667,0.942082,0.08257,0.3487,0.4321,,0,1.051982776,1.051982776,0.7553447768
대구덕인초등학교,달서구,335,1.233266439,7.761194,0.947855,1,0.3515,0.4321,,21.79104478,1.109929141,1.109929141,0.8606118976
대구북동초등학교,달성군,229,1.22951459,10.043668,0.922492,1,0.3487,0.4321,,-5.240174672,1.276887048,1.276887048,0.9304039766
대구성명초등학교,남구,245,1.22359046,8.163265,0.914696,1,0.3552,0.5969,보건업 복합코드,-2.857142857,1.268544748,1.268544748,0.9517921875
대구장동초등학교,달서구,1223,1.223050647,2.616517,0.965004,1,0.3515,0.4321,,10.0572363,0.8499828534,1.188588268,1.308489421
대구남양학교,수성구,217,1.221163964,0,0.979671,0.693446,0.3313,0.4693,기타 개인 서비스업 복합코드,0,1.158704984,1.158704984,0.8506644261
대구선원초등학교,달서구,261,1.221030404,0,0.973726,1,0.3515,0.4321,,-8.045977011,1.252317827,1.252317827,0.9269816586
대구영선초등학교,남구,291,1.219643097,6.185567,0.921288,1,0.3552,0.5969,보건업 복합코드,2.749140893,1.192669174,1.192669174,0.9184386053
대구덕성초등학교,동구,259,1.214721527,0,0.962626,1,0.3499,0.4321,,-4.247104247,1.249153726,1.249153726,0.9238543377
팔달중학교,북구,150,1.213018341,5.333333,0.95194,0.222869,0.3493,0.4321,,-0.8176918788,1.045356133,1.045356133,0.7573405832
대구옥포초등학교,달성군,252,1.21150005,3.174603,0.945389,1,0.3487,0.4321,,-3.968253968,1.251057394,1.251057394,0.9221594767
대구성동초등학교,수성구,1544,1.210604969,1.42487,0.974922,1,0.3313,0.4693,기타 개인 서비스업 복합코드,4.727979275,0.8556669002,1.420756306,1.567139089
군위중학교,군위군,187,1.209899465,0,0.88137,0.693446,0.329,0.4321,,7.486631016,1.126400953,1.126400953,0.815651857
대구두류초등학교,서구,237,1.209355463,0.843882,0.912629,1,0.3622,0.4321,,-4.641350211,1.258822267,1.258822267,0.9225843952
대구입석초등학교,동구,259,1.205903118,3.088803,0.952329,1,0.3499,0.4321,,0,1.243158394,1.243158394,0.9197714008
대구두산초등학교,수성구,268,1.204406724,4.477612,0.964746,1,0.3313,0.4693,기타 개인 서비스업 복합코드,-1.492537313,1.237456766,1.237456766,0.9220902285
대구상원초등학교,달서구,262,1.201938134,6.10687,0.953369,1,0.3515,0.4321,,-1.099764336,1.238733047,1.238733047,0.9181352241
